offer_id,offer_len,token,loc,pos,pos_left,pos_right,token_len,all_upper,n_tokens,
2400,24,CDMX,0,vmis000,<p>,sp000,4,TRUE,6,
2400,24,a,5,sp000,vmis000,np00000,1,FALSE,6,
2400,24,Vallarta,7,np00000,sp000,fg,8,FALSE,6,
2400,24,–,16,fg,np00000,zm,1,FALSE,6,
2400,24,$,18,zm,fg,dn0000,1,FALSE,6,
2400,24,"1,999",19,dn0000,zm,</p>,5,FALSE,6,
2401,88,CDMX,0,vmis000,<p>,sp000,4,TRUE,22,
2401,88,a,5,sp000,vmis000,np00000,1,FALSE,22,
2401,88,Madrid,7,np00000,sp000,fg,6,FALSE,22,
2401,88,-,14,fg,np00000,zm,1,FALSE,22,
2401,88,$,15,zm,fg,rg,1,FALSE,22,
2401,88,"16,535",16,rg,zm,fp,6,FALSE,22,
2401,88,.,22,fp,rg,faa,1,FALSE,22,
2401,88,¡,24,faa,fp,sp000,1,FALSE,22,
2401,88,Con,25,sp000,faa,z0,3,FALSE,22,
2401,88,10,29,z0,sp000,nc0p000,2,FALSE,22,
2401,88,noches,32,nc0p000,z0,sp000,6,FALSE,22,
2401,88,de,39,sp000,nc0p000,nc0s000,2,FALSE,22,
2401,88,hospedaje,42,nc0s000,sp000,fc,9,FALSE,22,
2401,88,",",18,fc,nc0s000,nc0p000,1,FALSE,22,
2401,88,vuelos,53,nc0p000,fc,cc,6,FALSE,22,
2401,88,y,60,cc,nc0p000,nc0p000,1,FALSE,22,
2401,88,desayunos,62,nc0p000,cc,sp000,9,FALSE,22,
2401,88,por,72,sp000,nc0p000,zm,3,FALSE,22,
2401,88,$,15,zm,sp000,dn0000,1,FALSE,22,
2401,88,"20,120",77,dn0000,zm,pp000000,6,FALSE,22,
2401,88,MXN,84,pp000000,dn0000,fat,3,TRUE,22,
2401,88,!,87,fat,pp000000,</p>,1,FALSE,22,
2402,87,CDMX,0,vmis000,<p>,sp000,4,TRUE,22,
2402,87,a,5,sp000,vmis000,np00000,1,FALSE,22,
2402,87,Bogotá,7,np00000,sp000,fg,6,FALSE,22,
2402,87,–,14,fg,np00000,zm,1,FALSE,22,
2402,87,$,16,zm,fg,z0,1,FALSE,22,
2402,87,"4,844",17,z0,zm,fp,5,FALSE,22,
2402,87,.,22,fp,z0,faa,1,FALSE,22,
2402,87,¡,24,faa,fp,sp000,1,FALSE,22,
2402,87,Con,25,sp000,faa,z0,3,FALSE,22,
2402,87,10,29,z0,sp000,nc0p000,2,FALSE,22,
2402,87,noches,32,nc0p000,z0,sp000,6,FALSE,22,
2402,87,de,39,sp000,nc0p000,nc0s000,2,FALSE,22,
2402,87,hospedaje,42,nc0s000,sp000,fc,9,FALSE,22,
2402,87,",",18,fc,nc0s000,nc0p000,1,FALSE,22,
2402,87,desayunos,53,nc0p000,fc,cc,9,FALSE,22,
2402,87,y,57,cc,nc0p000,nc0p000,1,FALSE,22,
2402,87,vuelos,65,nc0p000,cc,sp000,6,FALSE,22,
2402,87,por,72,sp000,nc0p000,zm,3,FALSE,22,
2402,87,$,16,zm,sp000,dn0000,1,FALSE,22,
2402,87,"6,637",77,dn0000,zm,zm,5,FALSE,22,
2402,87,MXN,83,zm,dn0000,fat,3,TRUE,22,
2402,87,!,86,fat,zm,</p>,1,FALSE,22,
2403,28,MTY,0,np00000,<p>,cc,3,TRUE,8,
2403,28,y,4,cc,np00000,np00000,1,FALSE,8,
2403,28,CDMX,6,np00000,cc,sp000,4,TRUE,8,
2403,28,a,11,sp000,np00000,np00000,1,FALSE,8,
2403,28,Cancún,13,np00000,sp000,fg,6,FALSE,8,
2403,28,–,20,fg,np00000,zm,1,FALSE,8,
2403,28,$,22,zm,fg,dn0000,1,FALSE,8,
2403,28,"1,799",23,dn0000,zm,</p>,5,FALSE,8,
2404,97,CDMX,0,np00000,<p>,cc,4,TRUE,24,
2404,97,y,5,cc,np00000,np00000,1,FALSE,24,
2404,97,GDL,7,np00000,cc,sp000,3,TRUE,24,
2404,97,a,11,sp000,np00000,np00000,1,FALSE,24,
2404,97,Anchorage,13,np00000,sp000,fg,9,FALSE,24,
2404,97,–,23,fg,np00000,zm,1,FALSE,24,
2404,97,$,25,zm,fg,w,1,FALSE,24,
2404,97,"8,465",26,w,zm,fp,5,FALSE,24,
2404,97,.,31,fp,w,faa,1,FALSE,24,
2404,97,¡,33,faa,fp,sp000,1,FALSE,24,
2404,97,Con,34,sp000,faa,z0,3,FALSE,24,
2404,97,14,38,z0,sp000,nc0p000,2,FALSE,24,
