offer_id,offer_len,token,loc,pos,pos_left,pos_right,token_len,all_upper,n_tokens,real_label
600,120,¡,0,faa,<p>,np00000,1,False,30,
600,120,CDMX,1,np00000,faa,sp000,4,True,30,
600,120,a,6,sp000,np00000,np00000,1,False,30,
600,120,Bogotá,8,np00000,sp000,fc,6,False,30,
600,120,",",14,fc,np00000,np00000,1,False,30,
600,120,Colombia,16,np00000,fc,fg,8,False,30,
600,120,–,25,fg,np00000,zm,1,False,30,
600,120,$,27,zm,fg,z0,1,False,30,
600,120,"3,911",28,z0,zm,fat,5,False,30,
600,120,!,33,fat,z0,np00000,1,False,30,
600,120,Opción,35,np00000,fat,sp000,6,False,30,
600,120,de,42,sp000,np00000,nc0s000,2,False,30,
600,120,hotel,45,nc0s000,sp000,dn0000,5,False,30,
600,120,5,51,dn0000,nc0s000,nc0p000,1,False,30,
600,120,días,53,nc0p000,dn0000,cc,4,False,30,
600,120,y,58,cc,nc0p000,z0,1,False,30,
600,120,4,60,z0,cc,nc0p000,1,False,30,
600,120,noches,62,nc0p000,z0,sp000,6,False,30,
600,120,por,69,sp000,nc0p000,zm,3,False,30,
600,120,$,27,zm,sp000,dn0000,1,False,30,
600,120,979,74,dn0000,zm,sp000,3,False,30,
600,120,con,78,sp000,dn0000,nc0p000,3,False,30,
600,120,desayunos,82,nc0p000,sp000,fp,9,False,30,
600,120,.,91,fp,nc0p000,np00000,1,False,30,
600,120,Hostal,93,np00000,fp,sp000,6,False,30,
600,120,por,69,sp000,np00000,zm,3,False,30,
600,120,$,27,zm,sp000,dn0000,1,False,30,
600,120,687,105,dn0000,zm,sp000,3,False,30,
600,120,por,69,sp000,dn0000,nc0s000,3,False,30,
600,120,persona,113,nc0s000,sp000,</p>,7,False,30,
601,108,¡,0,faa,<p>,np00000,1,False,28,
601,108,GDL,1,np00000,faa,sp000,3,True,28,
601,108,a,5,sp000,np00000,np00000,1,False,28,
601,108,Monterrey,7,np00000,sp000,fg,9,False,28,
601,108,–,17,fg,np00000,zm,1,False,28,
601,108,$,19,zm,fg,dn0000,1,False,28,
601,108,"1,131",20,dn0000,zm,fat,5,False,28,
601,108,!,25,fat,dn0000,np00000,1,False,28,
601,108,Opción,27,np00000,fat,sp000,6,False,28,
601,108,de,34,sp000,np00000,nc0s000,2,False,28,
601,108,hotel,37,nc0s000,sp000,dn0000,5,False,28,
601,108,4,43,dn0000,nc0s000,nc0p000,1,False,28,
601,108,estrellas,45,nc0p000,dn0000,fc,9,False,28,
601,108,",",21,fc,nc0p000,dn0000,1,False,28,
601,108,8,56,dn0000,fc,nc0p000,1,False,28,
601,108,días,58,nc0p000,dn0000,cc,4,False,28,
601,108,y,15,cc,nc0p000,w,1,False,28,
601,108,7,65,w,cc,nc0p000,1,False,28,
601,108,noches,67,nc0p000,w,sp000,6,False,28,
601,108,por,74,sp000,nc0p000,zm,3,False,28,
601,108,$,19,zm,sp000,dn0000,1,False,28,
601,108,"3,064",79,dn0000,zm,sp000,5,False,28,
601,108,por,74,sp000,dn0000,nc0s000,3,False,28,
601,108,persona,89,nc0s000,sp000,pr000000,7,False,28,
601,108,(,97,pr000000,nc0s000,vaif000,1,False,28,
601,108,hab,98,vaif000,pr000000,dn0000,3,False,28,
601,108,doble,102,dn0000,vaif000,word,5,False,28,
601,108,),107,word,dn0000,</p>,1,False,28,
602,106,¡,0,faa,<p>,np00000,1,False,29,
602,106,GDL,1,np00000,faa,sp000,3,True,29,
602,106,a,5,sp000,np00000,da0000,1,False,29,
602,106,Los,7,da0000,sp000,np00000,3,False,29,
602,106,Cabos,11,np00000,da0000,fg,5,False,29,
602,106,–,17,fg,np00000,zm,1,False,29,
602,106,$,19,zm,fg,z0,1,False,29,
602,106,952,20,z0,zm,fat,3,False,29,
602,106,!,23,fat,z0,np00000,1,False,29,
602,106,Opción,25,np00000,fat,sp000,6,False,29,
602,106,de,32,sp000,np00000,nc0s000,2,False,29,
602,106,hotel,35,nc0s000,sp000,dn0000,5,False,29,
602,106,3,41,dn0000,nc0s000,nc0p000,1,False,29,
602,106,estrellas,43,nc0p000,dn0000,fc,9,False,29,
602,106,",",52,fc,nc0p000,dn0000,1,False,29,
602,106,5,21,dn0000,fc,nc0p000,1,False,29,
602,106,días,56,nc0p000,dn0000,cc,4,False,29,
602,106,y,61,cc,nc0p000,z0,1,False,29,
602,106,4,63,z0,cc,nc0p000,1,False,29,
602,106,noches,65,nc0p000,z0,sp000,6,False,29,
602,106,por,72,sp000,nc0p000,zm,3,False,29,
602,106,$,19,zm,sp000,dn0000,1,False,29,
602,106,"3,064",77,dn0000,zm,sp000,5,False,29,
602,106,por,72,sp000,dn0000,nc0s000,3,False,29,
602,106,persona,87,nc0s000,sp000,pr000000,7,False,29,
602,106,(,95,pr000000,nc0s000,vaif000,1,False,29,
602,106,hab,96,vaif000,pr000000,dn0000,3,False,29,
602,106,doble,100,dn0000,vaif000,word,5,False,29,
602,106,),105,word,dn0000,</p>,1,False,29,
603,122,¡,0,faa,<p>,np00000,1,False,32,
603,122,CDMX,1,np00000,faa,cc,4,True,32,
603,122,y,6,cc,np00000,np00000,1,False,32,
603,122,GDL,8,np00000,cc,sp000,3,True,32,
603,122,a,12,sp000,np00000,np00000,1,False,32,
603,122,Bali,14,np00000,sp000,fc,4,False,32,
603,122,",",18,fc,np00000,np00000,1,False,32,
603,122,Indonesia,20,np00000,fc,fg,9,False,32,
603,122,–,30,fg,np00000,zm,1,False,32,
603,122,$,32,zm,fg,z0,1,False,32,
603,122,"14,526",33,z0,zm,fat,6,False,32,
603,122,!,39,fat,z0,np00000,1,False,32,
603,122,Opción,41,np00000,fat,sp000,6,False,32,
603,122,de,48,sp000,np00000,nc0s000,2,False,32,
603,122,hotel,51,nc0s000,sp000,dn0000,5,False,32,
603,122,4,34,dn0000,nc0s000,nc0p000,1,False,32,
603,122,estrellas,59,nc0p000,dn0000,fc,9,False,32,
603,122,",",18,fc,nc0p000,dn0000,1,False,32,
603,122,5,36,dn0000,fc,nc0p000,1,False,32,
603,122,días,72,nc0p000,dn0000,cc,4,False,32,
603,122,y,6,cc,nc0p000,z0,1,False,32,
603,122,4,34,z0,cc,nc0p000,1,False,32,
603,122,noches,81,nc0p000,z0,sp000,6,False,32,
603,122,por,88,sp000,nc0p000,zm,3,False,32,
603,122,$,32,zm,sp000,dn0000,1,False,32,
603,122,"1,672",93,dn0000,zm,sp000,5,False,32,
603,122,por,88,sp000,dn0000,nc0s000,3,False,32,
603,122,persona,103,nc0s000,sp000,pr000000,7,False,32,
603,122,(,111,pr000000,nc0s000,vaif000,1,False,32,
603,122,hab,112,vaif000,pr000000,dn0000,3,False,32,
603,122,doble,116,dn0000,vaif000,word,5,False,32,
603,122,),121,word,dn0000,</p>,1,False,32,
604,96,¡,0,faa,<p>,np00000,1,False,25,
604,96,CDMX,1,np00000,faa,sp000,4,True,25,
604,96,a,6,sp000,np00000,np00000,1,False,25,
604,96,Vancouver,8,np00000,sp000,fg,9,False,25,
604,96,–,18,fg,np00000,zm,1,False,25,
604,96,$,20,zm,fg,z0,1,False,25,
604,96,"5,629",21,z0,zm,fat,5,False,25,
604,96,!,26,fat,z0,np00000,1,False,25,
604,96,Opción,28,np00000,fat,sp000,6,False,25,
604,96,de,35,sp000,np00000,nc0s000,2,False,25,
604,96,hotel,38,nc0s000,sp000,dn0000,5,False,25,
604,96,8,44,dn0000,nc0s000,nc0p000,1,False,25,
604,96,días,46,nc0p000,dn0000,cc,4,False,25,
604,96,y,51,cc,nc0p000,w,1,False,25,
604,96,7,53,w,cc,nc0p000,1,False,25,
604,96,noches,55,nc0p000,w,sp000,6,False,25,
604,96,por,62,sp000,nc0p000,zm,3,False,25,
